City,Latitude,Longitude,Country,Date,Temperature,Humidity,Cloudiness,Wind Speed (mph)
West Melbourne,28.07,-80.65,US,1595283564,88.0,70,40,14.99
Berlevåg,70.86,29.09,NO,1595283352,50.0,100,90,3.36
Great Falls,47.5,-111.3,US,1595283061,75.99,38,20,5.82
Zelenogorskiy,55.03,87.0,RU,1595283565,59.0,100,34,6.71
Chemnitz,50.83,12.92,DE,1595283559,63.0,79,22,1.81
Okhotsk,59.38,143.3,RU,1595283565,57.24,87,100,2.13
Mahon,39.89,4.27,ES,1595283339,73.4,83,0,2.24
Laguna,38.42,-121.42,US,1595283285,88.0,39,1,6.93
Mattru,7.62,-11.83,SL,1595283566,73.42,97,100,3.18
Lebu,-37.62,-73.65,CL,1595283305,51.64,84,94,10.38
Poronaysk,49.22,143.12,RU,1595283566,57.63,94,100,7.9
Muravlenko,63.79,74.52,RU,1595283567,53.33,74,46,9.64
Asentamiento Humano Nicolas de Pierola,-11.95,-76.7,PE,1595283567,62.6,72,40,10.29
Galle,6.04,80.22,LK,1595283381,79.14,87,100,7.23
Ucluelet,48.93,-125.55,CA,1595283331,75.99,68,20,8.05
Hofn,64.25,-15.21,IS,1595283432,52.07,75,66,2.64
Komsomolets,53.75,62.07,KZ,1595283568,61.38,95,23,7.31
Lompoc,34.64,-120.46,US,1595283342,69.8,64,1,11.41
Plettenberg Bay,-34.05,23.37,ZA,1595283094,59.68,84,41,8.46
Vestmanna,62.16,-7.17,FO,1595283495,48.2,93,48,6.93
Oddur,4.12,43.89,SO,1595283357,72.66,58,33,20.8
La Santisima Trinidad,-14.83,-64.9,BO,1595283566,87.8,58,20,3.89
Aipe,3.22,-75.24,CO,1595283569,89.6,40,4,6.93
Visby,57.64,18.3,SE,1595283569,60.01,93,95,7.83
Vredendal,-31.67,18.5,ZA,1595283569,61.66,31,0,6.53
Granada,37.25,-3.25,ES,1595283491,79.0,20,0,13.0
Prescott,34.54,-112.47,US,1595283569,91.0,17,75,8.63
Kobryn,52.21,24.36,BY,1595283570,63.21,86,33,6.96
Thinadhoo,0.53,72.93,MV,1595283570,84.22,77,98,17.74
Goderich,43.75,-81.72,CA,1595282907,70.0,75,24,8.52
Nabire,-3.37,135.48,ID,1595283570,75.63,86,100,4.27
Hervey Bay,-25.3,152.85,AU,1595283570,57.0,84,100,5.99
Maumere,-8.62,122.21,ID,1595283571,74.28,78,5,3.85
Rørvik,64.86,11.24,NO,1595283571,54.7,73,100,11.59
Poya,-21.35,165.15,NC,1595283372,69.73,61,86,4.38
Egvekinot,66.32,-179.17,RU,1595283473,48.78,65,87,3.8
Sechura,-5.56,-80.82,PE,1595283571,70.5,62,7,17.87
Gachsaran,30.36,50.8,IR,1595283572,93.2,16,20,5.91
Najrān,17.49,44.13,SA,1595283572,82.4,51,73,4.7
Tabuk,17.42,121.44,PH,1595283382,73.78,87,11,2.44
Chichli,22.83,78.82,IN,1595283572,80.53,82,100,3.94
Don Luan,11.53,106.92,VN,1595283573,73.83,96,100,2.82
Vaitape,-16.52,-151.75,PF,1595283573,78.19,81,38,25.75
Snezhnogorsk,69.19,33.25,RU,1595283573,68.0,68,85,2.24
Pozo Colorado,-23.49,-58.8,PY,1595283573,79.48,44,0,6.35
Lyman,48.99,37.8,UA,1595283573,65.01,76,16,2.01
Krasnyy Chikoy,50.36,108.75,RU,1595283574,48.13,75,66,2.59
Asău,46.43,26.4,RO,1595283368,57.99,93,0,4.47
Zhezkazgan,47.8,67.71,KZ,1595283574,75.99,31,1,7.49
Ziro,27.63,93.83,IN,1595283575,59.56,100,100,0.43
La Romana,18.43,-68.97,DO,1595283575,87.8,55,40,8.05
Acajutla,13.59,-89.83,SV,1595283575,89.6,46,20,4.45
Kieta,-6.22,155.63,PG,1595283376,82.04,68,43,3.18
Nahrin,36.06,69.13,AF,1595283575,75.51,23,43,3.83
Xichang,27.9,102.26,CN,1595283576,64.71,78,99,1.01
Oodweyne,9.41,45.06,SO,1595283576,75.36,47,83,18.66
Departamento de Maldonado,-34.67,-54.92,UY,1595283576,72.0,68,100,3.36
Mbini,1.57,9.61,GQ,1595283576,77.0,94,40,5.66
Qaqortoq,60.72,-46.03,GL,1595283442,60.8,38,1,8.05
Muborak,39.26,65.15,UZ,1595283577,85.17,17,0,10.96
Mergen,49.18,125.22,CN,1595283577,60.48,60,0,5.12
Gulariyā,28.23,81.33,NP,1595283577,77.79,94,100,9.98
Hammerfest,70.66,23.68,NO,1595283465,55.4,93,75,11.41
Abashiri,44.02,144.27,JP,1595283578,67.26,87,100,3.38
Jejūri,18.28,74.17,IN,1595283578,73.94,88,100,5.28
Kavaratti,10.57,72.64,IN,1595283376,82.33,80,100,21.54
Macao,22.2,113.55,MO,1595283578,84.2,94,20,3.36
São Filipe,14.9,-24.5,CV,1595283370,77.13,82,41,8.63
Batagay,67.63,134.63,RU,1595283578,77.2,56,87,3.69
High Level,58.52,-117.14,CA,1595283579,75.2,53,75,4.7
Yantal',56.85,105.25,RU,1595283579,47.21,79,0,1.72
Yerbogachën,61.28,108.01,RU,1595283579,51.73,76,44,3.78
Kailua,21.4,-157.74,US,1595283579,84.2,54,20,13.87
Kattivākkam,13.22,80.32,IN,1595283580,82.4,88,40,4.7
Verkh-Usugli,52.7,115.17,RU,1595283580,47.98,73,0,7.16
Hobyo,5.35,48.53,SO,1595283114,77.49,73,60,24.72
Pala,9.36,14.9,TD,1595283580,71.8,83,94,4.74
Salitrillo,19.43,-99.85,MX,1595283580,69.8,30,75,5.82
Hay River,60.82,-115.8,CA,1595283372,71.6,64,40,6.93
Luganville,-15.53,167.17,VU,1595283581,71.6,78,20,5.3
Sisimiut,66.94,-53.67,GL,1595283151,49.89,79,100,2.51
Esso,55.93,158.7,RU,1595283581,54.01,58,93,8.77
Karratha,-20.74,116.85,AU,1595283108,65.14,53,0,11.9
Bethel,41.37,-73.41,US,1595283334,90.0,43,1,11.41
Kaberamaido,1.74,33.16,UG,1595283582,66.36,83,98,1.68
Umba,66.69,34.34,RU,1595283582,57.2,68,0,7.31
Lüderitz,-26.65,15.16,NA,1595283327,68.0,35,0,2.24
Haradok,55.46,29.98,BY,1595283582,58.51,88,86,3.0
Rawson,-43.3,-65.1,AR,1595283379,44.91,80,91,19.84
Polunochnoye,60.87,60.42,RU,1595283582,48.7,90,4,2.91
Şebinkarahisar,40.29,38.42,TR,1595283583,64.54,73,9,3.6
Katherine,-14.47,132.27,AU,1595283583,57.2,44,25,6.93
Junín,-34.58,-60.94,AR,1595283487,61.59,84,98,8.99
Province of Mantua,45.17,10.78,IT,1595283583,75.99,68,2,1.99
Ancud,-41.87,-73.82,CL,1595283361,50.0,81,86,6.93
Senneterre,48.38,-77.23,CA,1595283584,60.8,72,75,10.29
Northam,51.03,-4.22,GB,1595283584,57.99,73,0,4.0
Taiyuan,37.87,112.56,CN,1595283308,69.8,64,98,2.24
Ambilobe,-13.2,49.05,MG,1595283368,63.39,78,0,3.49
Zhangjiakou,40.81,114.88,CN,1595283584,71.04,67,88,2.8
Westport,41.14,-73.36,US,1595283123,93.2,41,40,13.87
Marrakesh,31.63,-8.01,MA,1595283398,82.4,51,20,6.93
Costa Rica,-23.42,-54.65,BR,1595283585,70.36,58,0,6.15
Igarka,67.47,86.58,RU,1595283392,49.6,78,98,7.05
Portland,45.52,-122.68,US,1595283308,91.99,29,20,10.29
Krasnosel'kup,65.7,82.47,RU,1595283376,54.16,60,100,6.13
Los Llanos de Aridane,28.66,-17.92,ES,1595283332,73.4,69,8,18.34
Nurota,40.56,65.69,UZ,1595283586,80.6,24,0,4.7
Mitsamiouli,-11.38,43.28,KM,1595283361,76.32,67,87,5.91
Jamkhandi,16.52,75.3,IN,1595283586,75.22,87,100,8.9
Voi,-3.39,38.56,KE,1595283587,66.33,80,6,10.33
Puerto Carreño,6.19,-67.49,CO,1595283587,80.6,78,40,2.24
Mawlaik,23.63,94.42,MM,1595283380,76.77,94,100,0.54
Kupino,54.37,77.3,RU,1595283587,59.16,83,11,12.71
Dubbo,-32.25,148.62,AU,1595283587,32.0,85,0,10.29
Achalpur,21.26,77.51,IN,1595283587,81.03,79,100,7.16
Ketchikan,55.34,-131.65,US,1595283339,59.0,100,90,11.41
Provost,52.35,-110.27,CA,1595283588,69.98,65,0,9.01
Narón,43.52,-8.15,ES,1595283369,64.99,91,18,10.0
Caravelas,-17.71,-39.25,BR,1595282942,71.08,87,23,6.51
Yulara,-25.24,130.99,AU,1595283239,48.2,93,90,8.05
Montes Claros,-16.73,-43.86,BR,1595283342,65.46,71,37,3.78
Alta Floresta,-9.88,-56.09,BR,1595283433,81.05,37,3,4.47
Kampot,10.62,104.18,KH,1595283589,78.8,88,40,3.36
Hudiksvall,61.73,17.1,SE,1595283589,58.01,95,100,4.56
Meulaboh,4.14,96.13,ID,1595283589,77.22,87,96,1.97
Iquitos,-3.75,-73.25,PE,1595283387,86.0,70,40,2.24
Lao Cai,22.48,103.95,VN,1595283438,75.29,84,96,1.28
Severo-Kuril'sk,50.68,156.12,RU,1595283334,52.86,78,5,3.4
Xiaoweizhai,26.19,107.51,CN,1595283590,69.01,94,100,4.81
Iracoubo,5.48,-53.2,GF,1595283590,78.91,85,100,8.68
Kolokani,13.57,-8.03,ML,1595283591,76.95,83,86,4.81
Jacareacanga,-6.22,-57.75,BR,1595283591,81.77,49,45,2.64
Vigía del Fuerte,6.58,-76.89,CO,1595283591,80.02,91,100,1.63
Namie,37.48,141.0,JP,1595283591,73.0,98,100,4.34
Singapore,1.29,103.85,SG,1595283591,82.4,83,75,5.17
Den Helder,52.96,4.76,NL,1595283592,60.01,76,20,4.7
Shar,49.59,81.05,KZ,1595283592,67.14,72,17,2.57
Cap Malheureux,-19.98,57.61,MU,1595283592,69.01,61,57,5.01
Makakilo City,21.35,-158.09,US,1595283425,89.6,40,20,9.17
Isangel,-19.55,169.27,VU,1595283321,73.4,56,31,6.93
Port Blair,11.67,92.75,IN,1595283593,80.83,78,100,3.65
Te Anau,-45.42,167.72,NZ,1595283383,42.75,89,88,3.36
Taunggyi,20.78,97.03,MM,1595283546,62.29,100,94,4.36
Pinega,64.7,43.39,RU,1595283593,57.7,77,0,3.22
Pangody,65.85,74.49,RU,1595283346,55.81,59,87,9.62
Khambhāt,22.3,72.62,IN,1595283594,84.13,75,100,13.33
Ulaangom,49.98,92.07,MN,1595283594,67.62,68,100,2.08
Kurumkan,54.3,110.3,RU,1595283594,51.35,67,1,2.95
Vestmannaeyjar,63.44,-20.27,IS,1595283595,50.94,71,0,5.64
Tongliao,43.61,122.27,CN,1595283595,69.21,46,1,6.76
Arrondissement d'Ajaccio,42.0,8.92,FR,1595283595,71.6,73,0,5.82
Māngrol,21.12,70.12,IN,1595283383,83.61,78,60,14.58
Juba,4.85,31.58,SS,1595283595,69.08,92,17,1.7
Charagua,-19.8,-63.22,BO,1595283596,75.97,54,13,7.54
Madera,37.17,-119.83,US,1595283596,99.0,22,0,1.99
Guanare,9.04,-69.74,VE,1595283596,77.34,92,100,3.04
Port Lincoln,-34.73,135.87,AU,1595283306,50.23,73,15,3.62
Dehlorān,32.69,47.27,IR,1595283596,98.08,8,0,7.96
Saint-François,46.42,3.91,FR,1595283597,71.6,56,29,4.61
Sakakah,29.97,40.21,SA,1595283409,98.6,11,0,11.41
Sorong,-0.88,131.25,ID,1595283597,77.58,86,97,6.62
Chifeng,42.27,118.96,CN,1595283597,68.72,54,70,3.27
Jiaojiang,28.68,121.44,CN,1595283598,82.99,75,91,3.85
Pailón,-17.65,-62.75,BO,1595283598,82.4,65,40,11.41
Ust'-Abakan,53.85,91.37,RU,1595283598,57.2,87,23,3.09
Taoudenni,22.68,-3.98,ML,1595283341,98.58,22,8,18.05
Mora,11.05,14.14,CM,1595283599,74.7,78,91,6.55
Esperance,-33.87,121.9,AU,1595283599,48.2,81,47,8.05
Shenjiamen,29.96,122.3,CN,1595283599,78.01,93,98,15.82
Abéché,13.83,20.83,TD,1595283600,74.19,79,100,12.91
Ballina,-28.87,153.57,AU,1595283455,53.01,81,83,8.05
Ambon City,-3.7,128.18,ID,1595283600,78.01,100,75,3.36
Ayan,56.45,138.17,RU,1595283600,52.43,95,100,15.86
Gaza,31.5,34.47,PS,1595283600,81.0,66,0,4.14
Vorotynets,56.06,45.86,RU,1595283545,57.67,98,66,3.27
Lat Yao,15.75,99.79,TH,1595283601,78.24,86,100,5.57
Wamba,8.93,8.6,NG,1595283601,72.82,93,97,1.7
Makurdi,7.74,8.51,NG,1595283601,73.56,95,99,5.26
Beyneu,45.32,55.2,KZ,1595283602,84.52,24,0,5.35
Muzhi,65.37,64.67,RU,1595283602,52.72,66,24,4.74
Neuquén,-38.95,-68.06,AR,1595283338,48.2,93,75,8.05
Pisco,-13.7,-76.22,PE,1595283054,63.0,82,75,8.05
Tessalit,20.2,1.01,ML,1595283420,94.87,24,46,12.15
Valparaíso,-33.04,-71.63,CL,1595283560,57.2,93,75,6.93
Daru,-9.08,143.21,PG,1595283603,77.41,85,42,14.47
Vardø,70.37,31.11,NO,1595283107,59.0,87,75,4.7
Isil'kul',54.91,71.27,RU,1595283603,57.15,79,31,10.27
Arboletes,8.85,-76.43,CO,1595283604,80.6,83,75,4.7
Hailey,43.52,-114.32,US,1595283604,86.0,23,5,11.41
Praia,14.92,-23.51,CV,1595283604,78.8,78,75,9.17
Mogadishu,2.04,45.34,SO,1595283325,77.11,82,62,20.51
Belaya Gora,68.53,146.42,RU,1595283605,76.93,40,55,6.85
Ostrovnoy,68.05,39.51,RU,1595283605,62.78,62,30,11.54
Yangambi,0.81,24.43,CD,1595283606,70.52,78,1,2.21
Ternate,0.8,127.4,ID,1595283376,79.66,78,41,3.56
Seabra,-12.42,-41.77,BR,1595283606,65.43,66,21,6.93
Kismayo,-0.36,42.55,SO,1595283606,76.91,78,100,18.86
Nazarovo,56.01,90.39,RU,1595283606,58.96,92,68,3.62
Nanortalik,60.14,-45.24,GL,1595283311,49.71,64,3,1.03
Conway,35.09,-92.44,US,1595283550,93.0,55,90,6.93
Bay Saint Louis,30.31,-89.33,US,1595283607,88.0,66,40,10.29
Ugoofaaru,5.67,73.0,MV,1595283607,82.13,79,100,20.87
Vanavara,60.34,102.28,RU,1595283608,48.88,82,0,0.72
Truth or Consequences,33.13,-107.25,US,1595283608,96.8,18,1,4.7
Srednekolymsk,67.45,153.68,RU,1595283609,76.33,39,65,16.17
Korsakov,46.63,142.78,RU,1595283609,62.6,93,90,4.47
Urengoy,65.97,78.37,RU,1595283449,53.87,69,100,9.69
Mathbaria,22.29,89.96,BD,1595283609,82.22,85,100,10.6
Kiama,-34.68,150.87,AU,1595283610,50.0,67,0,3.0
Kushnytsya,48.44,23.26,UA,1595283610,54.0,98,12,15.01
Chokwé,-24.53,32.98,MZ,1595283610,58.44,87,0,5.77
Pārīchha,25.52,78.75,IN,1595283611,86.59,66,100,11.25
Farnham,51.21,-0.8,GB,1595283611,57.2,58,1,1.12
San Miguel,13.48,-88.18,SV,1595283581,95.0,70,20,3.36
Youkounkoun,12.53,-13.13,GN,1595283611,75.6,92,100,5.84
Ostrov,57.34,28.35,RU,1595283612,57.2,93,88,2.24
Bollnäs,61.35,16.39,SE,1595283193,56.16,94,100,5.57
Tucumcari,35.17,-103.72,US,1595283612,95.0,32,1,14.99
San Quintín,30.48,-115.95,MX,1595283613,75.67,54,0,22.03
Diego de Almagro,-26.37,-70.05,CL,1595283332,57.96,58,100,3.78
Le Mans,48.0,0.2,FR,1595283613,69.8,46,0,16.11
Rive-de-Gier,45.53,4.62,FR,1595283613,82.4,44,31,1.12
Morros,-9.45,-46.3,BR,1595283541,76.39,39,4,5.28
Vila,42.03,-8.16,PT,1595283597,75.0,73,16,9.17
Aseri,59.45,26.87,EE,1595283614,62.46,82,86,3.24
Bayangol,50.7,103.47,RU,1595283614,48.0,91,46,1.03
Venado Tuerto,-33.75,-61.97,AR,1595283615,64.27,69,100,5.32
La Palma,33.85,-118.05,US,1595283357,82.99,47,1,8.05
Port Macquarie,-31.43,152.92,AU,1595283352,46.99,78,15,9.71
Bafra,41.57,35.91,TR,1595283615,77.0,69,75,14.99
Sitka,57.05,-135.33,US,1595283310,57.2,93,90,3.36
Hambantota,6.12,81.12,LK,1595283615,75.2,100,75,11.65
Ocampo,21.65,-101.5,MX,1595283616,73.33,43,79,7.83
Necochea,-38.55,-58.74,AR,1595283616,52.0,94,100,17.0
Pizarro,4.95,-77.37,CO,1595283356,79.12,87,100,10.04
Baie-Comeau,49.22,-68.15,CA,1595283616,80.6,44,75,25.28
Pereira Barreto,-20.64,-51.11,BR,1595283617,74.35,43,5,5.86
Lunino,53.59,45.23,RU,1595283608,57.69,93,0,5.08
Banda Aceh,5.56,95.32,ID,1595283617,79.5,79,90,1.39
Road Town,18.42,-64.62,VG,1595283389,86.0,70,40,10.29
Oranjemund,-28.55,16.43,NA,1595283617,63.91,37,0,4.81
Yakeshi,49.28,120.73,CN,1595283618,55.54,64,0,12.55
Lodhīkheda,21.58,78.83,IN,1595283618,77.0,100,75,4.61
Shevchenkove,49.7,37.17,UA,1595283618,66.2,63,3,2.24
Boa Vista,2.82,-60.67,BR,1595283346,84.2,70,75,4.7
Bonfim,3.08,-59.95,BR,1595283619,81.05,77,100,5.5
Vágur,61.47,-6.81,FO,1595283619,50.86,84,38,13.91
Oktyabr'skoye,43.06,44.74,RU,1595283619,75.0,78,0,4.47
Fort Nelson,58.81,-122.7,CA,1595283327,75.2,47,90,5.82
Puerto Baquerizo Moreno,-0.9,-89.6,EC,1595283619,73.4,73,90,14.99
Nizhniy Kuranakh,58.84,125.49,RU,1595283620,64.92,89,100,1.92
Kokopo,-4.35,152.26,PG,1595283362,80.74,76,43,7.65
Jieshi,22.81,115.83,CN,1595283620,81.9,82,100,1.83
Prince Rupert,54.32,-130.32,CA,1595283342,60.8,93,90,8.05
Aykhal,66.0,111.5,RU,1595283383,51.8,93,90,8.95
Kibala,9.11,18.35,TD,1595283621,78.8,83,20,0.74
Amapá,1.0,-52.0,BR,1595283621,74.08,92,100,1.86
Lerwick,60.15,-1.15,GB,1595283621,51.8,81,98,4.7
Taltal,-25.4,-70.48,CL,1595283483,60.85,67,100,1.54
Hamilton,39.18,-84.53,US,1595283318,91.99,46,75,4.7
Golfito,8.64,-83.17,CR,1595283622,79.25,86,100,2.64
Santa Cruz de la Sierra,-17.8,-63.17,BO,1595283419,86.0,61,40,14.99
Mayo,38.89,-76.51,US,1595283333,95.0,59,1,11.41
Chambas,22.19,-78.91,CU,1595283623,73.4,94,90,13.87
Sayyan,15.17,44.32,YE,1595283372,61.43,69,92,3.83
Trairi,-3.28,-39.27,BR,1595283623,79.25,73,88,14.29
Juazeiro,-9.41,-40.5,BR,1595283623,78.8,44,56,11.41
Semey,50.41,80.23,KZ,1595283618,69.35,61,0,10.04
Ongandjera,-17.88,15.07,NA,1595283623,59.79,37,0,8.01
Angoche,-16.23,39.91,MZ,1595283624,69.42,83,11,8.5
Mahibadhoo,3.78,72.97,MV,1595283624,83.39,76,100,21.09
Kurisove,46.97,30.96,UA,1595283624,69.8,77,100,6.71
Sabang,5.89,95.32,ID,1595283625,82.69,77,99,8.5
San Francisco,37.77,-122.42,US,1595283250,69.8,60,20,19.46
Krasnovishersk,60.41,57.08,RU,1595283625,53.17,79,0,6.69
Ardakān,32.31,54.02,IR,1595283625,80.6,18,0,4.7
Balaipungut,1.05,101.28,ID,1595283625,75.2,94,30,2.24
Yumbel,-37.08,-72.57,CL,1595283626,55.4,93,90,5.82
Menongue,-14.66,17.69,AO,1595283626,48.85,55,14,3.49
Shache,38.42,77.24,CN,1595283626,74.55,28,100,5.57
Talcahuano,-36.72,-73.12,CL,1595283495,55.4,87,75,9.17
Novo Aripuanã,-5.12,-60.38,BR,1595283626,82.31,54,17,1.32
Muroran,42.32,140.99,JP,1595283627,68.0,88,75,2.24
